PLAYER,JOGADOR,JUGADOR,PLAYER,JOUEUR,SPIELER,GIOCATORE,SPELER,JÁTÉKOS,OYUNCU,ИГРОК,ΠΑΙΚΤΗΣ,PEMAIN
PLAYERS,JOGADORES,JUGADORES,PLAYERS,JOUEURS,SPIELER,GIOCATORI,SPELERS,JÁTÉKOSOK,OYUNCULAR,ИГРОКИ,ΠΑΙΚΤΕΣ,PEMAIN
START CAMPAIGN,MODO CAMPANHA,MODO CAMPAÑA,START CAMPAIGN,CAMPAGNE,KAMPAGNE,CAMPAGNA,START CAMPAGNE,HADJÁRAT,KAMPANYA,КАМПАНИЯ,ΕΚΣΤΡΑΤΕΙΑ,MULAI KAMPANYE
FREEPLAY,JOGO LIVRE,JUEGO LIBRE,FREEPLAY,JEU LIBRE,FREIES SPIEL,GIOCO LIBERO,VRIJ SPELEN,SZABAD JÁTÉK,SERBEST OYUN,СВОБОДНАЯ ИГРА,ΕΛΕΥΘΕΡΟ ΠΑΙΧΝΙΔΙ,MAIN BEBAS
FREEPLAY LEVELS:,NÍVEIS:,NIVELES:,LEVELS:,NIVEAUX:,LEVELS:,LIVELLI:,LEVELS:,SZINTEK:,BÖLÜMLER:,УРОВНИ:,ΕΠΙΠΕΔΑ:,LEVEL:
CUSTOM LEVELS,NÍVEIS SALVOS,NIVELES GUARDADOS,CUSTOM LEVELS,NIVEAUX PERSO,EIGENE LEVELS,LIVELLI PERS.,EIGEN LEVELS,EGYÉNI SZINTEK,ÖZEL BÖLÜMLER,СВОИ УРОВНИ,ΠΡΟΣΑΡΜ. ΕΠΙΠΕΔΑ,LEVEL KUSTOM
CUSTOM LEVELS:,NÍVEIS SALVOS:,NIVELES GUARDADOS:,CUSTOM LEVELS:,NIVEAUX PERSO:,EIGENE LEVELS:,LIVELLI PERS.:,EIGEN LEVELS:,EGYÉNI SZINTEK:,ÖZEL BÖLÜMLER:,СВОИ УРОВНИ:,ΠΡΟΣΑΡΜ. ΕΠΙΠΕΔΑ:,LEVEL KUSTOM:
SURVIVAL,SOBREVIVÊNCIA,SUPERVIVENCIA,SURVIVAL,SURVIE,ÜBERLEBEN,SOPRAVVIVENZA,OVERLEVING,TÚLÉLÉS,HAYATTA KALMA,ВЫЖИВАНИЕ,ΕΠΙΒΙΩΣΗ,BERTAHAN HIDUP
SURVIVAL LEVELS:,NÍVEIS SOBREVIVÊNCIA:,NIVELES SUPERVIVENCIA:,SURVIVAL LEVELS:,NIVEAUX SURVIE:,ÜBERLEBENS-LEVELS:,LIVELLI SOPRAV.:,OVERLEVING LEVELS:,TÚLÉLŐ SZINTEK:,HAYATTA KALMA BÖL.:,УРОВНИ ВЫЖИВАНИЯ:,ΕΠΙΠΕΔΑ ΕΠΙΒΙΩΣΗΣ:,LEVEL BERTAHAN:
FREEPLAY TO CAMPAIGN,IR PARA CAMPANHA,IR AL MODO CAMPAÑA,FREEPLAY TO CAMPAIGN,VERS CAMPAGNE,ZUR KAMPAGNE,VAI A CAMPAGNA,NAAR CAMPAGNE,VISSZA A HADJÁRATHOZ,KAMPANYAYA GİT,В КАМПАНИЮ,ΠΡΟΣ ΕΚΣΤΡΑΤΕΙΑ,KE KAMPANYE
BOTS USE BONUS,BOTS USAM BÔNUS,BOTS USAN PODERES,BOTS USE BONUS,BOTS: BONUS,BOTS NUTZEN BONI,BOT USANO BONUS,BOTS GEBRUIKEN BONUS,BOTOK BÓNUSSZAL,BOTLAR BONUS KULLANIR,БОТЫ БЕРУТ БОНУСЫ,ΜΠΟΤ ΜΕ ΜΠΟΝΟΥΣ,BOT PAKAI BONUS
HARD MODE,MODO DIFICIL,MODO DIFICIL,HARD MODE,MODE DIFFICILE,SCHWIERIG,MODALITÀ DIFFICILE,MOEILIJKE MODUS,NEHÉZ MÓD,ZOR MOD,СЛОЖНЫЙ РЕЖИМ,ΔΥΣΚΟΛΗ ΛΕΙΤΟΥΡΓΙΑ,MODE SULIT
AUTO FIRE,DISPARO AUTOMÁTICO,AUTOFUEGO,AUTO FIRE,TIR AUTO,AUTO-FEUER,FUOCO AUTO,AUTO VUUR,AUTO TÜZELÉS,OTO ATEŞ,АВТО-ОГОНЬ,ΑΥΤΟΜΑΤΗ ΒΟΛΗ,TEMBAK OTOMATIS
GAMEPADS,CONTROLES,MANDOS,GAMEPADS,MANETTES,GAMEPADS,GAMEPAD,CONTROLLERS,KONTROLLEREK,OYUN KOLLARI,ГЕЙМПАДЫ,ΧΕΙΡΙΣΤΗΡΙΑ,GAMEPAD
NEW LEVEL,NOVO NÍVEL,NUEVO NIVEL,NEW LEVEL,NOUVEAU NIVEAU,NEUES LEVEL,NUOVO LIVELLO,NIEUW LEVEL,ÚJ SZINT,YENİ BÖLÜM,НОВЫЙ УРОВЕНЬ,ΝΕΟ ΕΠΙΠΕΔΟ,LEVEL BARU
LOAD LEVEL,CARREGAR NÍVEL,CARGAR NIVEL,LOAD LEVEL,CHARGER NIVEAU,LEVEL LADEN,CARICA LIVELLO,LEVEL LADEN,SZINT BETÖLTÉSE,BÖLÜM YÜKLE,ЗАГРУЗИТЬ УРОВЕНЬ,ΦΟΡΤΩΣΗ ΕΠΙΠ.,MUAT LEVEL
IMPORT LEVEL,IMPORTAR NÍVEL,IMPORTAR NIVEL,IMPORT LEVEL,IMPORTER NIVEAU,LEVEL IMPORTIEREN,IMPORTA LIVELLO,LEVEL IMPORTEREN,SZINT IMPORTÁLÁSA,BÖLÜM İÇE AKTAR,ИМПОРТИРОВАТЬ,ΕΙΣΑΓΩΓΗ ΕΠΙΠ.,IMPOR LEVEL
INVALID LEVEL!,NÍVEL INVÁLIDO!,NIVEL INVALIDO!,INVALID LEVEL!,NIVEAU INVALIDE!,UNGÜLTIGES LEVEL!,LIVELLO NON VALIDO!,ONGELDIG LEVEL!,ÉRVÉNYTELEN SZINT!,GEÇERSİZ BÖLÜM!,ОШИБКА УРОВНЯ!,ΜΗ ΕΓΚΥΡΟ ΕΠΙΠΕΔΟ!,LEVEL TIDAK VALID!
IMPORT ERROR!,ERRO DE IMPORTAÇÃO!,ERROR DE IMPORTACIÓN!,IMPORT ERROR!,ERREUR IMPORT!,IMPORTFEHLER!,ERRORE IMPORT!,IMPORT FOUT!,IMPORT HIBA!,İÇE AKTARMA HATASI!,ОШИБКА ИМПОРТА!,ΣΦΑΛΜΑ ΕΙΣΑΓΩΓΗΣ!,GAGAL IMPOR!
IMPORTED,IMPORTADO,IMPORTADO,IMPORTED,IMPORTÉ,IMPORTIERT,IMPORTATO,GEIMPORTEERD,IMPORTÁLVA,İÇE AKTARILDI,ИМПОРТИРОВАНО,ΕΙΣΗΧΘΗ,DIIMPOR
YES,SIM,SI,YES,OUI,JA,SÌ,JA,IGEN,EVET,ДА,ΝΑΙ,YA
NO,NÃO,NO,NO,NON,NEIN,NO,NEE,NEM,HAYIR,НЕТ,ΟΧΙ,TIDAK
LANGUAGE,IDIOMA,IDIOMA,LANGUAGE,LANGUE,SPRACHE,LINGUA,TAAL,NYELV,DİL,ЯЗЫК,ΓΛΩΣΣΑ,BAHASA
ON,LIG.,ACT.,ON,ACT.,AN,ON,AAN,BE,AÇIK,ВКЛ,ΕΝΕΡΓ.,HIDUP
OFF,DESLG.,DES.,OFF,DÉS.,AUS,OFF,UIT,KI,KAPALI,ВЫКЛ,ΑΠΕΝ.,MATI
1 PLAYER,1 JOGADOR,1 JUGADOR,1 PLAYER,1 JOUEUR,1 SPIELER,1 GIOCATORE,1 SPELER,1 JÁTÉKOS,1 OYUNCU,1 ИГРОК,1 ΠΑΙΚΤΗΣ,1 PEMAIN
2 PLAYERS,2 JOGADORES,2 JUGADORES,2 PLAYERS,2 JOUEURS,2 SPIELER,2 GIOCATORI,2 SPELERS,2 JÁTÉKOS,2 OYUNCU,2 ИГРОКА,2 ΠΑΙΚΤΕΣ,2 PEMAIN
3 PLAYERS,3 JOGADORES,3 JUGADORES,3 PLAYERS,3 JOUEURS,3 SPIELER,3 GIOCATORI,3 SPELERS,3 JÁTÉKOS,3 OYUNCU,3 ИГРОКА,3 ΠΑΙΚΤΕΣ,3 PEMAIN
4 PLAYERS,4 JOGADORES,4 JUGADORES,4 PLAYERS,4 JOUEURS,4 SPIELER,4 GIOCATORI,4 SPELERS,4 JÁTÉKOS,4 OYUNCU,4 ИГРОКА,4 ΠΑΙΚΤΕΣ,4 PEMAIN
HARD,DIFÍCIL,DIFÍCIL,HARD,DIFFICILE,SCHWER,DIFFICILE,MOEILIJK,NEHÉZ,ZOR,СЛОЖНО,ΔΥΣΚΟΛΟ,SULIT
PAUSE,PAUSA,PAUSA,PAUSE,PAUSE,PAUSE,PAUSA,PAUZE,SZÜNET,DURAKLAT,ПАУЗА,ΠΑΥΣΗ,JEDA
RESULTS,RESULTADOS,RESULTADOS,RESULTS,RÉSULTATS,ERGEBNISSE,RISULTATI,RESULTATEN,EREDMÉNYEK,SONUÇLAR,РЕЗУЛЬТАТЫ,ΑΠΟΤΕΛΕΣΜΑΤΑ,HASIL
PLAYER 1,JOGADOR 1,JUGADOR 1,PLAYER 1,JOUEUR 1,SPIELER 1,GIOCATORE 1,SPELER 1,1. JÁTÉKOS,1. OYUNCU,ИГРОК 1,ΠΑΙΚΤΗΣ 1,PEMAIN 1
PLAYER 2,JOGADOR 2,JUGADOR 2,PLAYER 2,JOUEUR 2,SPIELER 2,GIOCATORE 2,SPELER 2,2. JÁTÉKOS,2. OYUNCU,ИГРОК 2,ΠΑΙΚΤΗΣ 2,PEMAIN 2
PLAYER 3,JOGADOR 3,JUGADOR 3,PLAYER 3,JOUEUR 3,SPIELER 3,GIOCATORE 3,SPELER 3,3. JÁTÉKOS,3. OYUNCU,ИГРОК 3,ΠΑΙΚΤΗΣ 3,PEMAIN 3
PLAYER 4,JOGADOR 4,JUGADOR 4,PLAYER 4,JOUEUR 4,SPIELER 4,GIOCATORE 4,SPELER 4,4. JÁTÉKOS,4. OYUNCU,ИГРОК 4,ΠΑΙΚΤΗΣ 4,PEMAIN 4
TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,GESAMT,TOTALE,TOTAAL,ÖSSZESEN,TOPLAM,ИТОГО,ΣΥΝΟΛΟ,TOTAL
TOTAL SCORE,PONTUAÇÃO,PUNTUACIÓN,SCORE,SCORE TOTAL,GESAMTPUNKTZAHL,PUNTEGGIO TOTALE,TOTAAL SCORE,ÖSSZPONTSZÁM,TOPLAM PUAN,ОБЩИЙ СЧЕТ,ΣΥΝΟΛΙΚΟ ΣΚΟΡ,SKOR TOTAL
PERFECT!,PERFEITO!,PERFECTO!,PERFECT!,PARFAIT!,PERFEKT!,PERFETTO!,PERFECT!,TÖKÉLETES!,MÜKEMMEL!,ИДЕАЛЬНО!,ΤΕΛΕΙΑ!,SEMPURNA!
LEVEL,NÍVEL,NIVEL,LEVEL,NIVEAU,LEVEL,LIVELLO,LEVEL,SZINT,BÖLÜM,УРОВЕНЬ,ΕΠΙΠΕΔΟ,LEVEL
key,portugues,espanol,english,francais,deutsch,italiano,nederlands,magyar,turk,русский,ελληνικά,bahasaindonesia
CURRENT BLOCK,BLOCO ATUAL,BLOQUE ACTUAL,CURRENT BLOCK,BLOC ACTUEL,AKTUELLER BLOCK,BLOCCO ATTUALE,HUIDIG BLOK,JELENLEGI BLOKK,MEVCUT BLOK,ТЕКУЩИЙ БЛОК,ΤΡΕΧΟΝ ΜΠΛΟΚ,BLOK SAAT INI
PLAYER BASE,BASE JOGADOR,BASE JUGADOR,PLAYER BASE,BASE JOUEUR,SPIELERBASIS,BASE GIOCATORE,SPELERBASIS,BÁZIS,OYUNCU ÜSSÜ,БАЗА ИГРОКА,ΒΑΣΗ ΠΑΙΚΤΗ,MARKAS PEMAIN
SPAWN BOT,SPAWN BOT,SPAWN BOT,SPAWN BOT,SPAWN BOT,BOT SPAWNEN,GENERA BOT,BOT SPAWNEN,BOT LERAK,BOT EKLE,СПАВН БОТА,ΕΜΦΑΝΙΣΗ ΜΠΟΤ,SPAWN BOT
SPAWN PLAYER,SPAWN JOGADOR,SPAWN JUGADOR,SPAWN PLAYER,SPAWN JOUEUR,SPIELER SPAWNEN,GENERA GIOCATORE,SPELER SPAWNEN,JÁTÉKOS LERAK,OYUNCU EKLE,СПАВН ИГРОКА,ΕΜΦΑΝΙΣΗ ΠΑΙΚΤΗ,SPAWN PEMAIN
SAVE LEVEL,SALVAR NÍVEL,GUARDAR NÍVEL,SAVE LEVEL,SAUVEGARDER,SPEICHERN,SALVA,LEVEL OPSLAAN,SZINT MENTÉSE,BÖLÜMÜ KAYDET,СОХР. УРОВЕНЬ,ΑΠΟΘ. ΕΠΙΠΕΔΟΥ,SIMPAN LEVEL
LEVEL NAME:,NOME:,NOMBRE:,LEVEL NAME:,NOM:,NAME:,NOME:,NAAM:,NÉV:,BÖLÜM ADI:,ИМЯ УРОВНЯ:,ΟΝΟΜΑ ΕΠΙΠ.:,NAMA LEVEL:
BOTS SETUP,BOTS CONFIG:,CONFIG DE BOTS:,BOTS SETUP:,CONFIG BOTS:,BOT-SETUP:,CONFIG BOT:,BOTS INSTELLEN,BOT BEÁLLÍTÁS,BOT AYARLARI,НАСТР. БОТОВ,ΡΥΘΜΙΣΗ ΜΠΟΤ,PENGATURAN BOT
TOTAL BOTS,TOTAL DE BOTS,TOTAL DE BOTS,TOTAL BOTS,TOTAL BOTS,ANZAHL BOTS,TOTALE BOT,TOTAAL BOTS,BOTOK SZÁMA,TOPLAM BOT,ВСЕГО БОТОВ,ΣΥΝΟΛΟ ΜΠΟΤ,TOTAL BOT
SPAWN TIME:,TEMPO SPAWN:,TIEMPO SPAWN:,SPAWN TIME:,TEMPS SPAWN:,SPAWN-ZEIT:,TEMPO SPAWN:,SPAWN TIJD:,IDŐKÖZ:,DOĞMA SÜRESİ:,ВРЕМЯ СПАВНА:,ΧΡΟΝΟΣ ΕΜΦ.:,WAKTU SPAWN:
SETUP,CONFIG,CONFIG,SETUP,CONFIG,SETUP,CONFIG,INSTELLING,BEÁLLÍTÁS,KURULUM,НАСТРОЙКА,ΡΥΘΜΙΣΗ,PENGATURAN
CANCEL,CANCELAR,CANCELAR,CANCEL,ANNULER,ABBRECHEN,ANNULLA,ANNULEREN,MÉGSE,İPTAL,ОТМЕНА,ΑΚΥΡΩΣΗ,BATAL
SAVE,SALVAR,GUARDAR,SAVE,SAUVEGARDER,SPEICHERN,SALVA,OPSLAAN,MENTÉS,KAYDET,СОХРАНИТЬ,ΑΠΟΘΗΚΕΥΣΗ,SIMPAN
EXPORT,EXPORTAR,EXPORTAR,EXPORT,EXPORTER,EXPORTIEREN,ESPORTA,EXPORTEREN,EXPORTÁLÁS,DIŞA AKTAR,ЭКСПОРТ,ΕΞΑΓΩΓΗ,EKSPOR
Quickly,Rapido,Rapido,Quickly,Vite,Schnell,Veloce,Snel,Gyors,Hızlı,Быстро,Γρήγορα,Cepat
Manually,Manual,Manual,Manually,Manuel,Manuell,Manuale,Handmatig,Kézi,Manuel,Вручную,Χειροκίνητα,Manual
BOTS TYPE ORDER,CONFIG MANUAL,CONFIG MANUAL,BOTS TYPE ORDER,ORDRE TYPE,TYP-REIHENFOLGE,ORDINE TIPO,BOT VOLGORDE,BOT SORREND,BOT SIRASI,ПОРЯДОК БОТОВ,ΣΕΙΡΑ ΜΠΟΤ,URUTAN TIPE BOT
BOTS QUICK SETUP,CONFIG RAPIDA,CONFIG RAPIDA,BOTS QUICK SETUP,CONFIG RAPIDE,SCHNELLES SETUP,CONFIG VELOCE,BOT SNEL-SETUP,GYORS BEÁLL.,HIZLI AYAR,БЫСТР. НАСТР.,ΓΡΗΓΟΡΗ ΡΥΘΜ.,PENGATURAN CEPAT
TYPE 1:,TIPO 1:,TIPO 1:,TYPE 1:,TYPE 1:,TYP 1:,TIPO 1:,TYPE 1:,1. TÍPUS:,TİP 1:,ТИП 1:,ΤΥΠΟΣ 1:,TIPE 1:
TYPE 2:,TIPO 2:,TIPO 2:,TYPE 2:,TYPE 2:,TYP 2:,TIPO 2:,TYPE 2:,2. TÍPUS:,TİP 2:,ТИП 2:,ΤΥΠΟΣ 2:,TIPE 2:
TYPE 3:,TIPO 3:,TIPO 3:,TYPE 3:,TYPE 3:,TYP 3:,TIPO 3:,TYPE 3:,3. TÍPUS:,TİP 3:,ТИП 3:,ΤΥΠΟΣ 3:,TIPE 3:
TYPE 4:,TIPO 4:,TIPO 4:,TYPE 4:,TYPE 4:,TYP 4:,TIPO 4:,TYPE 4:,4. TÍPUS:,TİP 4:,ТИП 4:,ΤΥΠΟΣ 4:,TIPE 4:
OVERWRITE,SOBRESCREVER,SOBRESCRIBIR,OVERWRITE,ÉCRASER,ÜBERSCHREIBEN,SOVRASCRIVI,OVERSCHRIJVEN,FELÜLÍRÁS,ÜZERİNE YAZ,ПЕРЕЗАПИСАТЬ,ΑΝΤΙΚΑΤΑΣΤΑΣΗ,TIMPA
LEVEL SAVED SUCCESSFULLY!,NÍVEL SALVO COM SUCESSO!,NIVEL GUARDADO CON EXITO!,LEVEL SAVED SUCCESSFULLY!,NIVEAU SAUVEGARDÉ!,LEVEL GESPEICHERT!,LIVELLO SALVATO!,LEVEL OPGESLAGEN!,SZINT MENTVE!,BÖLÜM KAYDEDİLDİ!,УРОВЕНЬ СОХРАНЕН!,ΕΠΙΤΥΧΗΣ ΑΠΟΘΗΚΕΥΣΗ!,LEVEL BERHASIL DISIMPAN!
SCORE:,PONTUAÇÃO:,PUNTUACIÓN:,SCORE:,SCORE:,PUNKTE:,PUNTEGGIO:,SCORE:,PONT:,PUAN:,СЧЕТ:,ΣΚΟΡ:,SKOR:
ROUND,RODADA,RONDA,ROUND,MANCHE,RUNDE,ROUND,RONDE,KÖR,TUR,РАУНД,ΓΥΡΟΣ,RONDE
KEYBINDS,CONTROLES,MANDOS,KEYBINDS,TOUCHES,TASTEN,TASTI,BESTURING,IRÁNYÍTÁS,TUŞLAR,УПРАВЛЕНИЕ,ΠΛΗΚΤΡΑ,KONTROL
MOVE UP,CIMA,ARRIBA,UP,HAUT,HOCH,SU,OMHOOG,FEL,YUKARI,ВВЕРХ,ΠΑΝΩ,GERAK ATAS
MOVE DOWN,BAIXO,ABAJO,DOWN,BAS,RUNTER,GIÙ,OMLAAG,LE,AŞAĞI,ВНИЗ,ΚΑΤΩ,GERAK BAWAH
MOVE LEFT,ESQUERDA,IZQUIERDA,LEFT,GAUCHE,LINKS,SINISTRA,LINKS,BALRA,SOL,ВЛЕВО,ΑΡΙΣΤΕΡΑ,GERAK KIRI
MOVE RIGHT,DIREITA,DERECHA,RIGHT,DROITE,RECHTS,DESTRA,RECHTS,JOBBRA,SAĞ,ВПРАВО,ΔΕΞΙΑ,GERAK KANAN
SHOOT,ATIRAR,DISPARAR,SHOOT,TIRER,SCHIESSEN,SPARA,SCHIETEN,TŰZ,ATEŞ,ВЫСТРЕЛ,ΒΟΛΗ,TEMBAK
EXIT,SAIR,SALIR,EXIT,QUITTER,BEENDEN,ESCI,AFSLUITEN,KILÉPÉS,ÇIKIŞ,ВЫХОД,ΕΞΟΔΟΣ,KELUAR
PRESS ANY KEY...,PRESSIONE ALGO...,PRESIONA ALGO...,PRESS ANY KEY...,APPUYEZ SUR UNE TOUCHE...,TASTE DRÜCKEN...,PREMI UN TASTO...,DRUK OP EEN TOETS...,NYOMJ GOMBOT...,BİR TUŞA BAS...,НАЖМИ ЛЮБУЮ КНОПКУ...,ΠΙΕΣΤΕ ΕΝΑ ΠΛΗΚΤΡΟ...,TEKAN TOMBOL APAPUN...
BACK TO MENU,VOLTAR AO MENU,VOLVER AL MENU,BACK TO MENU,MENU PRINCIPAL,HAUPTMENÜ,MENU PRINCIPALE,TERUG NAAR MENU,VISSZA A MENÜBE,MENÜYE DÖN,В МЕНЮ,ΠΙΣΩ ΣΤΟ ΜΕΝΟΥ,KEMBALI KE MENU
RESET TO DEFAULT,REDEFINIR TUDO,REINICIAR TODO,RESET TO DEFAULT,RÉINITIALISER,ZURÜCKSETZEN,RIPRISTINA,STANDAARD HERSTELLEN,ALAPHELYZET,SIFIRLA,СБРОС,ΕΠΑΝΑΦΟΡΑ,RESET STANDAR
VIRTUAL CONTROL,CONTROLE VIRTUAL,CONTROL VIRTUAL,VIRTUAL CONTROL,CONTRÔLE VIRTUEL,VR-STEUERUNG,CONTROLLO VIRTUALE,VIRTUELE BESTURING,VIRTUÁLIS VEZÉRLÉS,SANAL KONTROL,ВИРТУАЛЬНОЕ УПРАВЛЕНИЕ,ΕΙΚΟΝΙΚΟΣ ΕΛΕΓΧΟΣ,KONTROL VIRTUAL
VIRTUAL BUTTONS ENABLED,BOTÕES VIRTUAIS ATIVADOS,BOTONES VIRTUALES ACTIVADOS,VIRTUAL BUTTONS ENABLED,BOUTONS VIRTUELS ACTIVÉS,VIRTUELLE TASTEN AKTIVIERT,VIRTUAL TASTI ATTIVATI,VIRTUELE KNOPPEN INGEZET,VIRTUÁLIS GOMBOK ENGEDÉLYEZVE,SANAL TUŞLAR ETKİN,SВИРТУАЛЬНЫЕ КНОПКИ ВКЛЮЧЕНЫ,ΕΝΕΡΓΟΠΟΙΗΣΗ ΕΙΚΟΝΙΚΩΝ ΚΟΥΜΠΙΩΝ,TOMBOL VIRTUAL DI AKTIFKAN
VIRTUAL BUTTONS DISABLED,BOTÕES VIRTUAIS DESATIVADOS,BOTONES VIRTUALES DESACTIVADOS,VIRTUAL BUTTONS DISABLED,BOUTONS VIRTUELS DÉSACTIVÉS,VIRTUELLE TASTEN DEAKTIVIERT,VIRTUAL TASTI DISATTIVATI,VIRTUELE KNOPPEN UITGESCHAKELD,VIRTUÁLIS GOMBOK LETILTVA,SANAL TUŞLAR DEVRE DIŞI,BЫРТУАЛЬНЫЕ КНОПКИ ОТКЛЮЧЕНЫ,ΑΠΕΝΕΡΓΟΠΟΙΗΣΗ ΕΙΚΟΝΙΚΩΝ ΚΟΥΜΠΙΩΝ,TOMBOL VIRTUAL DINONAKTIFKAN
VIRTUAL CONTROL MODE:,MODO CONTROLE VIRTUAL:,MODO CONTROL VIRTUAL:,VIRTUAL CONTROL MODE:,MODE CONTRÔLE VIRTUEL:,VR-STEUERUNG-MODUS:,MODO CONTROLLO VIRTUALE:,VIRTUELE BESTURINGSMODUS:,VIRTUÁLIS VEZÉRLÉS MÓD:,SANAL KONTROL MODU:,РЕЖИМ ВИРТУАЛЬНОГО УПРАВЛЕНИЯ:,ΛΕΙΤΟΥΡΓΙΑ ΕΙΚΟΝΙΚΟΥ ΕΛΕΓΧΟΥ:,MODE KONTROL VIRTUAL:
TRANSPARENCY:,TRANSPARÊNCIA:,TRANSPARENCIA:,TRANSPARENCY:,TRANSPARENCE:,TRANSPARENZ:,TRASPARENZA:,DOORZICHTIGHEID:,ÁTLÁTSZÓSÁG:,ŞEFFAFLIK:,ПРОЗРАЧНОСТЬ:,ΔΙΑΦΑΝΕΙΑ:,TRANSPARANSI:
CHANGE,MUDAR,CAMBIAR,CHANGE,CHANGER,ÄNDERN,CAMBIA,WIJZIGEN,MÓDOSÍT,DEĞİŞTİR,ИЗМЕНИТЬ,ΑΛΛΑΓΗ,UBAH
1 PLAYER MODE,MODO 1 JOGADOR,MODO 1 JUGADOR,1 PLAYER MODE,MODE 1 JOUEUR,1-SPIELER-MODUS,MOD. 1 GIOCATORE,1 SPELER MODUS,1 JÁTÉKOS MÓD,1 OYUNCU MODU,РЕЖИМ 1 ИГР.,ΛΕΙΤ. 1 ΠΑΙΚΤΗ,MODE 1 PEMAIN
2 PLAYER MODE,MODO 2 JOGADORES,MODO 2 JUGADORES,2 PLAYERS MODE,MODE 2 JOUEURS,2-SPIELER-MODUS,MOD. 2 GIOCATORI,2 SPELERS MODUS,2 JÁTÉKOS MÓD,2 OYUNCU MODU,РЕЖИМ 2 ИГР.,ΛΕΙΤ. 2 ΠΑΙΚΤΩΝ,MODE 2 PEMAIN
3 PLAYER MODE,MODO 3 JOGADORES,MODO 3 JUGADORES,3 PLAYERS MODE,MODE 3 JOUEURS,3-SPIELER-MODUS,MOD. 3 GIOCATORI,3 SPELERS MODUS,3 JÁTÉKOS MÓD,3 OYUNCU MODU,РЕЖИМ 3 ИГР.,ΛΕΙΤ. 3 ΠΑΙΚΤΩΝ,MODE 3 PEMAIN
4 PLAYER MODE,MODO 4 JOGADORES,MODO 4 JUGADORES,4 PLAYERS MODE,MODE 4 JOUEURS,4-SPIELER-MODUS,MOD. 4 GIOCATORI,4 SPELERS MODUS,4 JÁTÉKOS MÓD,4 OYUNCU MODU,РЕЖИМ 4 ИГР.,ΛΕΙΤ. 4 ΠΑΙΚΤΩΝ,MODE 4 PEMAIN
